trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
197,False,"{'a': 0.65, 'e': 0.19062258984415673}",20,11,17.665975191266753,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.65, 'e': 0.18374633193754078}",20,6,27.669362610021587,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.65, 'e': 0.17686107049742464}",35,13,-3.7433294054271897,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
200,False,"{'a': 0.65, 'e': 0.16996714290024081}",20,16,7.42165132480837,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.65, 'e': 0.16306488694706261}",30,0,8.12085906328408,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
202,False,"{'a': 0.65, 'e': 0.15615464084705052}",25,13,-7.668831434877343,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
203,False,"{'a': 0.65, 'e': 0.1492367432008806}",20,12,-36.42477183651236,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
204,False,"{'a': 0.65, 'e': 0.14231153298415378}",20,16,7.9697792516356305,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.65, 'e': 0.13537934953078465}",30,4,-1.2709486630431683,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
206,False,"{'a': 0.65, 'e': 0.12844053251637583}",25,13,-18.853273772633152,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.65, 'e': 0.12149542194157227}",25,18,14.8009193067563,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.65, 'e': 0.11454435811540295}",20,9,-21.614099938485133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
209,False,"{'a': 0.65, 'e': 0.10758768163860413}",35,13,14.738578873576804,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
210,False,"{'a': 0.65, 'e': 0.10062573338693172}",25,14,19.5705082485458,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.65, 'e': 0.09365885449445663}",20,10,16.068349876572096,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.65, 'e': 0.08668738633685107}",30,14,26.071843692887814,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.65, 'e': 0.07971167051465945}",25,20,9.447630159921719,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.65, 'e': 0.07273204883656179}",25,14,20.97178054029169,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.65, 'e': 0.06574886330262336}",30,13,16.99678630434559,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.65, 'e': 0.058762456087538564}",20,14,11.11817251159062,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.65, 'e': 0.05177316952386262}",25,20,10.16368556281592,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.65, 'e': 0.044781346085239156}",20,16,6.6405867891813735,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.65, 'e': 0.03778732836961728}",20,16,5.765116020813587,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.65, 'e': 0.030791459082466124}",20,13,11.567095897074235,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.65, 'e': 0.02379408101998077}",20,0,31.797691681802903,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.65, 'e': 0.016795537052286005}",30,21,16.10834030613354,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.65, 'e': 0.009796170106636401}",20,8,24.642673337418252,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.65, 'e': 0.0027963231506114}",20,13,13.707322908680766,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.65, 'e': -0.0042036608246882635}",25,9,28.066194938317224,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,18.301420548538204,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,16,28.777657723915183,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,8,35.68092983777341,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,9.772086616893038,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,18,22.21407864830734,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,7.501120861855015,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,23,15.345122612117516,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,21.909425090009687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,12.48786736304897,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,7,18.735503144413123,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,11,16.145970210838247,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,18,27.484115278774972,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,17,17.27660546447022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,3,33.61098125001076,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,2,28.417299151124293,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,15,16.734457085660143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,2,31.597248082348074,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,12,30.648792155492753,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,8,30.16576636396823,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,16,26.338400361809082,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
